in:NumberOfDiagonals,in:TrussHeight,out:DefMax,out:Util_1,out:Util_2,out:Util_3,out:Util_4,out:Util_5,out:Util_6,out:Util_7,out:Util_8,out:Util_9,out:Util_10,out:sig-max_1,out:sig-max_2,out:sig-max_3,out:sig-max_4,out:sig-max_5,out:sig-max_6,out:sig-max_7,out:sig-max_8,out:sig-max_9,out:sig-max_10,out:Mass,img
20,1.1,3.356481,0.091003,0.210798,0.356037,0.464666,0.528771,0.550276,0.528771,0.464666,0.356037,0.210798,3.583739,7.614168,13.116378,16.821562,19.03757,19.820202,19.03757,16.821562,13.116378,7.614168,2713.73718,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight1_Front.png
4,1.2,3.811516,0.165655,0.566942,0.165655,0.602358,0.602358,0.929402,0.929402,0.221935,0.239148,0.239148,6.413058,20.66646,6.413058,13.29102,13.29102,8.395951,8.395951,-4.112639,8.676667,8.676667,2221.163531,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight2_Front.png
6,1.2,3.180633,0.116921,0.452948,0.452948,0.116921,0.346395,0.346395,0.477492,0.69849,0.477492,0.202778,4.563439,16.414389,16.414389,4.563439,4.029144,4.029144,1.206436,-4.794803,1.206436,-5.189299,2262.184111,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight2_Front.png
8,1.2,2.835103,0.094983,0.376408,0.480912,0.376408,0.094983,0.260605,0.260605,0.323023,0.579676,0.579676,3.721605,13.592741,17.376961,13.592741,3.721605,0.870747,0.870747,-0.601196,-6.379281,-6.379281,2316.179111,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals4_TrussHeight2_Front.png
10,1.2,2.820412,0.086155,0.320636,0.461902,0.461902,0.320636,0.086155,0.223037,0.223037,0.248015,0.495842,3.383855,11.564049,16.650356,16.650356,11.564049,3.383855,-0.524502,-0.524502,-1.084461,-6.449688,2380.780003,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals6_TrussHeight2_Front.png
12,1.2,2.784244,0.08337,0.280928,0.429827,0.483404,0.429827,0.280928,0.08337,0.204994,0.204994,0.205609,3.279492,10.124834,15.47907,17.431043,15.47907,10.124834,3.279492,-1.216041,-1.216041,-1.130062,2453.846316,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals8_TrussHeight2_Front.png
14,1.2,2.810556,0.083869,0.251278,0.399354,0.477767,0.477767,0.399354,0.251278,0.083869,0.206596,0.206596,3.302374,9.053638,14.453051,17.214786,17.214786,14.453051,9.053638,3.302374,-1.358054,-1.358054,2533.593549,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals10_TrussHeight2_Front.png
16,1.2,2.837558,0.086214,0.228531,0.372168,0.463258,0.492733,0.463258,0.372168,0.228531,0.086214,0.20946,3.396874,8.233332,13.563598,16.683341,17.754415,16.683341,13.563598,8.233332,3.396874,-1.259612,2618.60053,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals12_TrussHeight2_Front.png
18,1.2,2.880856,0.089635,0.210577,0.348455,0.445699,0.493632,0.493632,0.445699,0.348455,0.210577,0.089635,3.533092,7.586579,12.762704,16.045551,17.778892,17.778892,16.045551,12.762704,7.586579,3.533092,2707.762069,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals14_TrussHeight2_Front.png
20,1.2,2.924441,0.093693,0.196059,0.327928,0.428137,0.487238,0.507042,0.487238,0.428137,0.327928,0.196059,3.693976,7.063814,12.053914,15.467744,17.54354,18.263769,17.54354,15.467744,12.053914,7.063814,2800.227272,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight2_Front.png
4,1.3,3.439915,0.154955,0.526061,0.154955,0.592183,0.592183,0.885249,0.885249,0.214058,0.23084,0.23084,6.007037,19.194729,6.007037,12.857076,12.857076,8.597144,8.597144,-3.784453,8.310247,8.310247,2236.224397,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight3_Front.png
6,1.3,2.790513,0.109754,0.417732,0.417732,0.109754,0.341276,0.341276,0.453267,0.647291,0.453267,0.193789,4.288986,15.152205,15.152205,4.288986,3.773323,3.773323,1.452054,-4.490782,1.452054,-4.875641,2283.786864,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight3_Front.png
8,1.3,2.475078,0.090292,0.347646,0.442291,0.347646,0.090292,0.257542,0.257542,0.305938,0.536662,0.536662,3.542267,12.563873,15.9866,12.563873,3.542267,0.682031,0.682031,-0.380389,-6.030399,-6.030399,2345.872774,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals4_TrussHeight3_Front.png
10,1.3,2.467273,0.083368,0.296654,0.425539,0.425539,0.296654,0.083368,0.221676,0.221676,0.235332,0.45818,3.278479,10.707449,15.342803,15.342803,10.707449,3.278479,-0.658226,-0.658226,-0.870914,-6.130969,2419.53264,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals6_TrussHeight3_Front.png
12,1.3,2.436816,0.082095,0.260593,0.396506,0.446237,0.396506,0.260593,0.082095,0.206472,0.206472,0.195963,3.233242,9.399529,14.281743,16.093047,14.281743,9.399529,3.233242,-1.30705,-1.30705,-0.918141,2502.207895,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals8_TrussHeight3_Front.png
14,1.3,2.467618,0.083849,0.233762,0.368836,0.441667,0.441667,0.368836,0.233762,0.083849,0.209271,0.209271,3.305353,8.429753,13.315354,15.916221,15.916221,13.315354,8.429753,3.305353,-1.372319,-1.372319,2591.845249,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals10_TrussHeight3_Front.png
