in:NumberOfDiagonals,in:TrussHeight,out:DefMax,out:Util_1,out:Util_2,out:Util_3,out:Util_4,out:Util_5,out:Util_6,out:Util_7,out:Util_8,out:Util_9,out:Util_10,out:sig-max_1,out:sig-max_2,out:sig-max_3,out:sig-max_4,out:sig-max_5,out:sig-max_6,out:sig-max_7,out:sig-max_8,out:sig-max_9,out:sig-max_10,out:Mass,img
12,1.7,1.601022,0.081241,0.206074,0.305158,0.344519,0.305158,0.206074,0.081241,0.214627,0.214627,0.169501,3.211007,7.438675,10.998241,12.431195,10.998241,7.438675,3.211007,-1.546775,-1.546775,-0.25331,2708.851171,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals8_TrussHeight7_Front.png
14,1.7,1.63903,0.086746,0.187459,0.285612,0.342922,0.342922,0.285612,0.187459,0.086746,0.221334,0.221334,3.43095,6.75688,10.285138,12.364056,12.364056,10.285138,6.75688,3.43095,-1.349657,-1.349657,2838.54349,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals10_TrussHeight7_Front.png
16,1.7,1.671327,0.09348,0.17351,0.268251,0.335338,0.356198,0.335338,0.268251,0.17351,0.09348,0.228767,3.698734,6.247959,9.693815,12.083611,12.83916,12.083611,9.693815,6.247959,3.698734,-1.107821,2973.675747,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals12_TrussHeight7_Front.png
18,1.7,1.722181,0.100824,0.163162,0.253385,0.325315,0.359734,0.359734,0.325315,0.253385,0.163162,0.100824,3.990173,5.973145,9.211967,11.71806,12.960496,12.960496,11.71806,9.211967,5.973145,3.990173,3112.845753,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals14_TrussHeight7_Front.png
20,1.7,1.767543,0.108448,0.154772,0.240576,0.314866,0.357881,0.372345,0.357881,0.314866,0.240576,0.154772,4.292379,5.737874,8.782304,11.338554,12.889928,13.41469,12.889928,11.338554,8.782304,5.737874,3255.070416,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight7_Front.png
4,1.8,2.501355,0.126031,0.392603,0.126031,0.554196,0.554196,0.791561,0.791561,0.178591,0.192685,0.192685,4.916334,14.390248,4.916334,11.248302,11.248302,11.19731,11.19731,-2.629877,7.007815,7.007815,2317.541032,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight8_Front.png
6,1.8,1.688177,0.090742,0.304778,0.304778,0.090742,0.323475,0.323475,0.369508,0.509055,0.369508,0.16552,3.56443,11.067758,11.067758,3.56443,2.862238,2.862238,2.281382,-2.287259,2.281382,-3.819272,2402.652143,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight8_Front.png
8,1.8,1.465718,0.078579,0.255459,0.317473,0.255459,0.078579,0.248311,0.248311,0.247918,0.398905,0.398905,3.097811,9.256103,11.493172,9.256103,3.097811,0.031753,0.031753,0.398875,-4.53749,-4.53749,2509.203237,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals4_TrussHeight8_Front.png
10,1.8,1.480477,0.077771,0.220536,0.308354,0.308354,0.220536,0.077771,0.219402,0.219402,0.193229,0.340466,3.072365,7.971851,11.127715,11.127715,7.971851,3.072365,-1.101341,-1.101341,-0.090923,-4.777059,2630.872257,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals6_TrussHeight8_Front.png
12,1.8,1.474303,0.081657,0.19685,0.289195,0.326786,0.289195,0.19685,0.081657,0.217017,0.217017,0.164969,3.229598,7.103114,10.424224,11.792786,10.424224,7.103114,3.229598,-1.553339,-1.553339,-0.119641,2763.118991,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals8_TrussHeight8_Front.png
14,1.8,1.513537,0.087902,0.179703,0.271118,0.325716,0.325716,0.271118,0.179703,0.087902,0.224558,0.224558,3.478793,6.473959,9.764051,11.745094,11.745094,9.764051,6.473959,3.478793,-1.333109,-1.333109,2902.844944,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals10_TrussHeight8_Front.png
16,1.8,1.546931,0.09531,0.167246,0.255005,0.31904,0.338778,0.31904,0.255005,0.167246,0.09531,0.232759,3.773309,6.08352,9.205324,11.497503,12.212051,11.497503,9.205324,6.08352,3.773309,-1.069019,3047.958654,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals12_TrussHeight8_Front.png
18,1.8,1.599107,0.103276,0.157852,0.24129,0.309999,0.342669,0.342669,0.309999,0.24129,0.157852,0.103276,4.089428,5.843891,8.764828,11.167405,12.346399,12.346399,11.167405,8.764828,5.843891,4.089428,3197.036662,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals14_TrussHeight8_Front.png
20,1.8,1.645251,0.111479,0.151441,0.229491,0.300515,0.341416,0.355192,0.341416,0.300515,0.229491,0.151441,4.414689,5.635995,8.371353,10.822693,12.297537,12.797161,12.297537,10.822693,8.371353,5.635995,3349.093762,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight8_Front.png
4,1.9,2.396793,0.12304,0.374859,0.12304,0.548321,0.548321,0.787292,0.787292,0.174256,0.187666,0.187666,4.804948,13.751474,4.804948,10.998975,10.998975,11.861018,11.861018,-2.46472,6.827861,6.827861,2334.930465,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight9_Front.png
6,1.9,1.563114,0.088822,0.289869,0.289869,0.088822,0.32095,0.32095,0.357671,0.499176,0.357671,0.162105,3.492001,10.52868,10.52868,3.492001,2.725986,2.725986,2.391996,-1.681329,2.391996,-3.675692,2428.341261,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight9_Front.png
8,1.9,1.352457,0.077552,0.243509,0.300984,0.243509,0.077552,0.247278,0.247278,0.239908,0.380865,0.380865,3.05962,8.823271,10.899555,8.823271,3.05962,-0.061981,-0.061981,0.510154,-4.294003,-4.294003,2544.346807,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals4_TrussHeight9_Front.png
10,1.9,1.370386,0.077582,0.210767,0.292926,0.292926,0.210767,0.077582,0.219557,0.219557,0.187596,0.325141,3.066931,7.617183,10.572572,10.572572,7.617183,3.066931,-1.162371,-1.162371,0.025891,-4.556614,2675.927617,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals6_TrussHeight9_Front.png
12,1.9,1.36766,0.082223,0.188774,0.275074,0.311116,0.275074,0.188774,0.082223,0.219493,0.219493,0.161018,3.253926,6.809168,9.916401,11.228667,9.916401,6.809168,3.253926,-1.55607,-1.55607,0.004642,2818.209673,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals8_TrussHeight9_Front.png
14,1.9,1.408142,0.089157,0.172951,0.258303,0.310515,0.310515,0.258303,0.172951,0.089157,0.227832,0.227832,3.530396,6.227469,9.303253,11.198274,11.198274,9.303253,6.227469,3.530396,-1.314322,-1.314322,2967.954223,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals10_TrussHeight9_Front.png
16,1.9,1.443433,0.097198,0.161853,0.243306,0.30465,0.32339,0.30465,0.243306,0.161853,0.097198,0.23677,3.850054,5.946506,8.775128,10.979995,11.658079,10.979995,8.775128,5.946506,3.850054,-1.029299,3123.018979,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals12_TrussHeight9_Front.png
18,1.9,1.496213,0.105752,0.154355,0.230618,0.296484,0.327603,0.327603,0.296484,0.230618,0.154355,0.105752,4.189547,5.739159,8.371418,10.681492,11.804175,11.804175,10.681492,8.371418,5.739159,4.189547,3281.967921,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals14_TrussHeight9_Front.png
20,1.9,1.543283,0.114507,0.149041,0.219719,0.287861,0.326886,0.340051,0.326886,0.287861,0.219719,0.149041,4.536776,5.556268,8.010159,10.367813,11.774771,12.252116,11.774771,10.367813,8.010159,5.556268,3443.818517,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight9_Front.png
4,2,2.308147,0.120571,0.359033,0.120571,0.543282,0.543282,0.783077,0.783077,0.170462,0.183199,0.183199,4.713498,13.18175,4.713498,10.765549,10.765549,12.453793,12.453793,-2.314477,6.667838,6.667838,2352.669172,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals0_TrussHeight10_Front.png
6,2,1.456289,0.087252,0.276595,0.276595,0.087252,0.3191,0.3191,0.350625,0.489971,0.350625,0.159198,3.433009,10.048687,10.048687,3.433009,2.5995,2.5995,2.618113,-1.141011,2.618113,-3.547133,2454.589232,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals2_TrussHeight10_Front.png
8,2,1.258561,0.076771,0.2329,0.286288,0.2329,0.076771,0.246875,0.246875,0.232697,0.364824,0.364824,3.030899,8.439016,10.370522,8.439016,3.030899,-0.148077,-0.148077,0.611165,-4.066859,-4.066859,2580.172843,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals4_TrussHeight10_Front.png
10,2,1.276944,0.077566,0.202125,0.279192,0.279192,0.202125,0.077566,0.2203,0.2203,0.182581,0.311528,3.06815,7.303361,10.078312,10.078312,7.303361,3.06815,-1.217676,-1.217676,0.13372,-4.350844,2721.715316,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals6_TrussHeight10_Front.png
12,2,1.277345,0.082908,0.181667,0.262505,0.297183,0.262505,0.181667,0.082908,0.222508,0.222508,0.157564,3.282817,6.550323,9.464317,10.727105,9.464317,6.550323,3.282817,-1.55585,-1.55585,0.120803,2874.036501,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals8_TrussHeight10_Front.png
14,2,1.319111,0.090489,0.167212,0.246901,0.297003,0.297003,0.246901,0.167212,0.090489,0.231616,0.231616,3.58492,6.051267,8.89323,10.712208,10.712208,8.89323,6.051267,3.58492,-1.293907,-1.293907,3033.778907,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals10_TrussHeight10_Front.png
16,2,1.356314,0.09913,0.157199,0.232911,0.291866,0.309713,0.291866,0.232911,0.157199,0.09913,0.241268,3.928387,5.832857,8.393946,10.520269,11.165711,10.520269,8.393946,5.832857,3.928387,-0.98907,3198.762543,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals12_TrussHeight10_Front.png
18,2,1.409789,0.108243,0.151853,0.221143,0.284486,0.314219,0.314219,0.284486,0.221143,0.151853,0.108243,4.290151,5.655341,8.023196,10.250132,11.322509,11.322509,10.250132,8.023196,5.655341,4.290151,3367.546069,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals14_TrussHeight10_Front.png
20,2,1.457924,0.117527,0.147154,0.211055,0.276638,0.313987,0.326608,0.313987,0.276638,0.211055,0.147154,4.658426,5.495449,7.690827,9.964343,11.310694,11.768165,11.310694,9.964343,7.690827,5.495449,3539.153391,https://emilengdahl-au.github.io/GenerativDesignColibri/data/NumberOfDiagonals16_TrussHeight10_Front.png
